Date,Nombre incidents,Quote,Jour de la semaine,Weekday,Max Temp (C),Min Temp (C),Mean Temp (C),Heat Deg Days (C),Cool Deg Days (C),Total Precip (mm),Snow on Grnd (cm)
2018-01-01,4,Medium,2,Week,-18.8,-25.3,-22.1,40.1,0,0,18
2018-01-02,3,Medium,3,Week,-14,-24.9,-19.5,37.5,0,2.5,18
2018-01-03,1,Low,4,Week,-10.2,-16.2,-13.2,31.2,0,0.2,22
2018-01-04,1,Low,5,Week,-6.7,-14.1,-10.4,28.4,0,0.9,23
2018-01-05,2,Low,6,Week,-14.1,-22.5,-18.3,36.3,0,3.4,17
2018-01-06,2,Low,7,Weekend,-20,-23.8,-21.9,39.9,0,0.4,15
2018-01-07,5,Medium,1,Weekend,-11,-24.3,-17.7,35.7,0,3.4,15
2018-01-08,2,Low,2,Week,-3,-11.1,-7.1,25.1,0,9.9,20
2018-01-09,2,Low,3,Week,-0.2,-10.3,-5.3,23.3,0,0,27
2018-01-10,11,High,4,Week,-0.8,-15.1,-8,26,0,0.4,28
2018-01-11,4,Medium,5,Week,6.1,-1.2,2.5,15.5,0,6.7,26
2018-01-12,2,Low,6,Week,9.8,-7.8,1,17,0,18.7,12
2018-01-13,3,Medium,7,Weekend,-7.8,-24.9,-16.4,34.4,0,12.7,17
2018-01-14,2,Low,1,Weekend,-17.9,-27.1,-22.5,40.5,0,0.4,28
2018-01-15,2,Low,2,Week,-14.9,-23.7,-19.3,37.3,0,0,26
2018-01-16,1,Low,3,Week,-9.6,-15.1,-12.4,30.4,0,0.4,25
2018-01-17,3,Medium,4,Week,-5.6,-12.9,-9.3,27.3,0,0,24
2018-01-18,4,Medium,5,Week,-3,-6,-4.5,22.5,0,0,23
2018-01-19,1,Low,6,Week,0.3,-4.6,-2.2,20.2,0,0,24
2018-01-20,2,Low,7,Weekend,4.1,-1,1.6,16.4,0,0,23
2018-01-21,6,High,1,Weekend,0.6,-6.6,-3,21,0,0,19
2018-01-22,6,High,2,Week,-3.4,-7.7,-5.6,23.6,0,9.3,19
2018-01-23,3,Medium,3,Week,3.8,-4,-0.1,18.1,0,11.3,20
2018-01-24,2,Low,4,Week,2,-13.7,-5.9,23.9,0,0,19
2018-01-25,6,High,5,Week,-10.1,-16.6,-13.4,31.4,0,0.2,19
2018-01-26,1,Low,6,Week,-6.8,-19.1,-13,31,0,0.2,19
2018-01-27,2,Low,7,Weekend,6.5,-13.6,-3.6,21.6,0,2.2,19
2018-01-28,3,Medium,1,Weekend,5.3,-5.6,-0.2,18.2,0,0,16
2018-01-29,5,Medium,2,Week,-5.5,-11.8,-8.7,26.7,0,0,15
2018-01-30,3,Medium,3,Week,-7.3,-14.3,-10.8,28.8,0,0,15
2018-01-31,5,Medium,4,Week,-6.1,-17.6,-11.9,29.9,0,4.3,15
2018-02-01,1,Low,5,Week,4.7,-11.5,-3.4,21.4,0,0,16
2018-02-02,7,High,6,Week,-8.3,-18.5,-13.4,31.4,0,0.4,15
2018-02-03,1,Low,7,Weekend,-6,-21,-13.5,31.5,0,0.3,15
2018-02-04,2,Low,1,Weekend,-0.5,-6.8,-3.7,21.7,0,6.8,21
2018-02-05,2,Low,2,Week,-1.1,-12.5,-6.8,24.8,0,1.2,22
2018-02-06,5,Medium,3,Week,-4.6,-14,-9.3,27.3,0,0,25
2018-02-07,2,Low,4,Week,-9.7,-15.3,-12.5,30.5,0,7.3,24
2018-02-08,2,Low,5,Week,-7.4,-18.5,-13,31,0,0.3,29
2018-02-10,3,Medium,7,Weekend,-4.8,-8.9,-6.9,24.9,0,7.1,28
2018-02-11,5,Medium,1,Weekend,0.9,-7.2,-3.2,21.2,0,1.3,37
2018-02-12,1,Low,2,Week,-2.4,-13.2,-7.8,25.8,0,0.2,34
2018-02-13,1,Low,3,Week,-5.9,-17.9,-11.9,29.9,0,0.4,32
2018-02-14,3,Medium,4,Week,4.6,-13.1,-4.3,22.3,0,0,32
2018-02-15,2,Low,5,Week,5.7,-4.6,0.6,17.4,0,0.2,28
2018-02-16,3,Medium,6,Week,3.6,-12.5,-4.5,22.5,0,7.2,22
2018-02-17,2,Low,7,Weekend,-2.1,-15.9,-9,27,0,0.2,27
2018-02-18,3,Medium,1,Weekend,2.4,-5.9,-1.8,19.8,0,0,26
2018-02-19,3,Medium,2,Week,5.3,-3.1,1.1,16.9,0,1.2,25
2018-02-21,3,Medium,4,Week,8.8,-3.7,2.6,15.4,0,1.9,18
2018-02-22,3,Medium,5,Week,-3.2,-7.6,-5.4,23.4,0,0,15
2018-02-23,2,Low,6,Week,2.8,-7.9,-2.6,20.6,0,4.4,15
2018-02-24,2,Low,7,Weekend,3.4,-3,0.2,17.8,0,0,12
2018-02-25,2,Low,1,Weekend,4.7,-2.9,0.9,17.1,0,5.9,11
2018-02-26,1,Low,2,Week,4.6,-0.8,1.9,16.1,0,0,11
2018-02-27,2,Low,3,Week,7.6,-2.3,2.7,15.3,0,0,8
2018-02-28,2,Low,4,Week,8.2,0.9,4.6,13.4,0,0,6
2018-03-01,5,Medium,5,Week,3,-0.9,1.1,16.9,0,0,3
2018-03-02,2,Low,6,Week,1.5,-2,-0.3,18.3,0,0.5,2
2018-03-04,1,Low,1,Weekend,3.2,-1,1.1,16.9,0,2.2,2
2018-03-06,2,Low,3,Week,2.2,-2.6,-0.2,18.2,0,0,2
2018-03-07,2,Low,4,Week,1.3,-1.4,-0.1,18.1,0,0.5,1
2018-03-08,1,Low,5,Week,-1,-2.3,-1.7,19.7,0,3.8,2
2018-03-09,1,Low,6,Week,1.9,-4,-1.1,19.1,0,0.9,6
2018-03-10,3,Medium,7,Weekend,1.5,-4.6,-1.6,19.6,0,1.1,3
2018-03-11,2,Low,1,Weekend,2.4,-2.1,0.2,17.8,0,0.9,6
2018-03-12,1,Low,2,Week,4.2,-1.6,1.3,16.7,0,0,2
2018-03-14,2,Low,4,Week,0.7,-0.8,-0.1,18.1,0,7.2,18
2018-03-15,6,High,5,Week,2.7,-3.1,-0.2,18.2,0,1.4,24
2018-03-16,2,Low,6,Week,-3,-8.2,-5.6,23.6,0,0,19
2018-03-17,3,Medium,7,Weekend,-7.8,-13.8,-10.8,28.8,0,0.3,18
2018-03-18,1,Low,1,Weekend,-5.9,-17.5,-11.7,29.7,0,0,16
2018-03-19,2,Low,2,Week,-3.8,-15,-9.4,27.4,0,0,16
